# Qwen3-ASR S2TT 微调对照表：日文<TAB>中文（供 prepare_data.py --translator table 使用）
# 日文来源：FLEURS ja_jp（CC-BY-4.0）转写，取自 CI 的 --dump-transcripts 产物（顺序与流式读取一致）
# 中文译文：人工翻译（不经过任何机器翻译 API），因此本实验在 CI 里完全不需要密钥
# 格式：一行一对、TAB 分隔、# 开头为注释；追加数据直接往后加行即可
これらの駐在官は パキスタン憲法第247条に基づき 行政と司法の業務を提供する責任を負っています	这些驻地官员依据巴基斯坦宪法第247条，负责提供行政与司法服务。
自給自足農業とは 農業従事者とその家族に必要な分の食料のみを生産する農業の形態です	自给自足农业是指只生产农户及其家庭所需食物的农业形态。
現場で逮捕された司会者は暴行を否認し 最大30人から瓶を投げつけられたため 身を守るために棒を使ったと主張しています	在现场被捕的主持人否认施暴，声称因为有多达30人朝他扔瓶子，他才用棍棒自卫。
外交官でない限り 海外で働くのであれば 一般的には拠点となる国で所得税を申告しなければなりません	除非是外交官，只要在国外工作，通常都必须在常驻国申报所得税。
ホルモンを投与すると胎児の肺の成熟が早まることが彼の研究でわかりました	他的研究发现，注射激素可以加快胎儿肺部的成熟。
棺から取り出す際にミイラが負った損傷の証拠を見たいと思っていた人は誰もが 頭部と肩しか見えないので がっかりするでしょう	想看到木乃伊从棺中取出时受损证据的人都会失望，因为只能看到头部和肩部。
auのアルバート ムシャンガ貿易産業コミッショナーは ベナンが参加すると発表しました	非盟贸易与工业专员阿尔伯特·穆尚加宣布，贝宁将参加。
異を唱える人もいるかもしれないが 私は気にしません	也许会有人提出异议，但我并不在意。
公園内にいる動物の多くは人間を見慣れていますが それでも野生動物はあくまで野生なので 餌を与えたり 驚かしたりしてはいけません	公园里的许多动物已习惯人类，但野生动物终究是野生的，不要投喂或惊吓它们。
墜落現場は本日判明しましたが 接近しにくい場所であるため 2人の警察官が密林をかき分けながら生存者を探し歩きました	坠机现场今天已经确认，但由于难以接近，两名警察在密林中披荆斩棘搜寻幸存者。
星が光や熱を発する原因は 水素原子が合体融合してより重い元素になるときにエネルギーが生じるためです	恒星发光发热，是因为氢原子聚变成更重的元素时会释放能量。
ラトビアとスロバキアはともにactaに加盟する予定ですがその手続きが遅れています	拉脱维亚和斯洛伐克都计划加入ACTA，但相关程序已经拖延。
同時に ドイツ海軍は主にuボートを使用して この輸送を阻止しようとしていました	与此同时，德国海军主要动用U型潜艇，试图阻断这一运输。
華氏90度の暑さの中で待つ間 乗客に水が配られました	在华氏90度的高温中等待期间，乘客们得到了饮用水。
科学者たちは エンケラドゥスが地質学的に活発であり 土星の氷でできたe環の放出源ではないかと疑ってきました	科学家一直怀疑土卫二地质活跃，可能是土星冰质E环的物质来源。
スターダストは 1969年5月にアポロx号のコマンドモジュールを帰還させた際の記録を更新し 地球に帰還した宇宙船の最速記録を更新することになります	“星尘”号打破了1969年5月阿波罗指挥舱返回时的纪录，创下航天器返回地球的最快速度纪录。
人間のような消化器系を持つ霊長類にとって サバンナの環境で手に入る植物資源から必須アミノ酸を摂取するのは困難です	对拥有类似人类消化系统的灵长类来说，很难从稀树草原上能获得的植物资源中摄取必需氨基酸。
「1年に及ぶ金融危機がこの2か月で最も深刻化しましたが、今は金融市場が回復し始めていると思います」	“持续一年的金融危机在这两个月里最为严重，但我认为金融市场现在已开始复苏。”
しかし 実用に耐える最初の望遠鏡が作られたのは16世紀後半のヨーロッパでした	不过，第一台具有实用价值的望远镜是16世纪后半叶在欧洲制成的。
野生動物には臆病なものも攻撃的なものもいます 環境は寒冷 高温または適応しにくいことがあります	野生动物有的胆小，有的具攻击性；环境可能寒冷、酷热或难以适应。
全員が女性の入賞を支持していたわけではありません	并非所有人都支持女性获奖。
ロンドンでは 主な著作権者の事務所の外に約200人が集まって抗議行動を繰り広げました	在伦敦，约200人聚集在主要版权持有者的事务所外举行抗议活动。
このコメントはテレビで生中継されたもので イランの高官が制裁の効果を認めたのは初めてのことでした	这番话是通过电视直播的，也是伊朗高官首次承认制裁产生了效果。
利用可能な宿泊先の一覧は 印刷物やオンラインで提供され 他の旅行者による評価や意見が掲載されることもあります	可用住宿的清单以纸质或在线形式提供，有时还附有其他旅客的评价与意见。
キャンプ生活をする場合は 蛇やサソリなどから身を守るために キャンプ用の簡易ベッドやハンモックを用意しましょう	露营时，为防蛇和蝎子等，最好准备露营简易床或吊床。
ハコクラゲは 10月から4月にかけて1770の北 海岸や河口付近に生息します この時期以外にも見かけることがあります	箱水母在10月至次年4月间栖息于1770以北的海岸和河口附近，其他时候偶尔也能见到。
商用になれば手に入れるべきです つまり 原則として原子力発電には反対しない とコステロ氏は語りました	科斯特洛说：“一旦商用化就应该采用，也就是说，原则上我不反对核电。”
ハンギ料理は 地面に掘った穴を熱して食材を調理するものです	杭吉料理是把地上挖出的坑加热后用来烹制食物的做法。
フランスでは 投票は伝統的に旧式な設備で実施されます 有権者はブースで隔離され あらかじめ印刷された候補者を示す用紙を封筒に入れます	在法国，投票传统上使用老式设备进行：选民在隔离的投票间里，把事先印好候选人名字的纸放进信封。
それ以降の証拠は試験用紙が改ざんされたことを示しており ホール氏は他の34人の教育関係者とともに2013年に起訴されました	此后的证据显示答卷被篡改，霍尔先生与其他34名教育工作者一同于2013年被起诉。
初めて途上国を旅行する場合 または世界各国の初めての地域を旅行する場合 潜在的なカルチャーショックを過小評価してはいけません	第一次去发展中国家旅行，或第一次前往某个国家的新地区时，不要低估潜在的文化冲击。
ナダルの対カナダ戦の戦績は7-2です	纳达尔对阵加拿大的战绩是7胜2负。
神秘主義は 究極の現実 神性 霊的真理 または神との交信 同一性 または意識的な意識を追求する哲学なしい宗教上の思想です	神秘主义是一种哲学或宗教思想，追求终极实在、神性、灵性真理，或与神的沟通、合一及自觉意识。
次いで イスタンブール国立交響楽団 ヤニサリーバンド 歌手のファティヒ エルコッチとミュスルム ギュルセスが登場しました	随后登场的是伊斯坦布尔国立交响乐团、耶尼切里军乐队，以及歌手法提赫·埃尔科奇和缪斯吕姆·居尔塞斯。
二度と波に捕まらない場所を狙ってみるか 泳力に自信がないという自覚があれば 救助を待った方がいいかもしれません	要么设法游到不会再被浪卷走的地方；要么若自知泳技不佳，最好等待救援。
他人のために持ち歩く 特に国境を越えるときは 絶対に手荷物から目を離してはいけません	替他人携带物品时，尤其是过境时，绝不能让行李离开视线。
バルト海クルーズのほとんどは サンクトペテルブルクロシアでの長期滞在を特徴としています	大多数波罗的海邮轮的特色是在俄罗斯圣彼得堡长时间停留。
今回の取り決めが成立した場合 こうした自由は終わるかもしれません	如果这次的协议达成，这些自由也许就会终结。
もしかしたら あなたのひ孫たちが異星人の惑星に降り立って 古代の祖先に思いを馳せる日が来るかもしれません	也许有一天，你的曾孙辈会踏上外星人的行星，追思远古的祖先。
ツタンカーメンと一緒に埋葬された品目のほとんどは良い状態で保存されており 貴金属や希少な石で作られた工芸品などが何千とありました	与图坦卡蒙一同下葬的物品大多保存完好，有数千件用贵金属和稀有宝石制成的工艺品。
ケニアのナイロビにある米国大使館は ソマリアの過激派 がケニアとエチオピアで自爆テロを計画しているとの警告を発しました	美国驻肯尼亚内罗毕大使馆发出警告，称索马里极端组织正计划在肯尼亚和埃塞俄比亚发动自杀式袭击。
リード氏は ニュージーランドのa1gpカーである ブラックビューティー で時速160 km以上で7回も橋を渡る走行に成功しました	里德驾驶新西兰的A1GP赛车“黑美人”，以超过160公里的时速七次成功过桥。
指輪あまり高そうでないものをしておくと効果的です	戴上看起来不太值钱的戒指会更安全有效。
マッサは少なくとも2009年の残りのシーズンは欠場することになっている	马萨至少要缺席2009赛季剩余的比赛。
読みやすくカスタマイズしたり 表示色を自由に増減できます	可以自定义以提高可读性，也能自由增减显示颜色。
しかし この問題を解決するのは非常に難しく 実用的な核融合炉ができるまでには何年もかかるでしょう	但要解决这个问题非常困难，实用的核聚变反应堆还需要很多年才能建成。
もう1つの違いは 貧しい人々や女性は椅子に座って食事をするのに対し 金持ちの男性は寝そべってくつろぎながら食事をする宴会を好んだということです	另一个区别是：穷人和女性坐着吃饭，而富有的男性更喜欢斜倚着进餐的宴会。
シュナイダーは母国の米空軍基地からビデオリンクで証言しました	施耐德通过视频连线，从本国的美国空军基地作证。
プエルトヒメネスの森林管理移設から直接公園利用許可証を入手できますが クレジットカードは利用できません	可以在普埃尔托希梅内斯的森林管理办公室直接办理公园许可证，但不接受信用卡。
ハラッパーやモヘンジョダロの都市では 下水道が整備され ほとんどすべての住居に水洗トイレがありました	在哈拉帕和摩亨佐达罗等城市，下水道系统完善，几乎所有住宅都有抽水马桶。
この資金は 洪水に強い住宅 より適切な水の管理 さらに作物の多様化に使われる可能性があります	这笔资金可能用于抗洪住宅、更合理的水资源管理以及作物多样化。
この番組のエピソードはいずれも具体的な書籍のテーマに焦点を当て いくつもの物語を通してそのテーマを探求するものでした	该节目的每一集都聚焦于一本具体书籍的主题，并通过多个故事来探索这一主题。
リギンズは父親の跡を継いで医学の道に進みました	里金斯继承父亲的志向，走上了医学道路。
沿岸の群島と最大の湖は 確かにヨットを楽しめる大きさですが 小型ボートやカヤックでもまた違った体験ができます	沿岸群岛和最大的湖泊确实大到可以玩游艇，但乘小艇或皮划艇又会有不同的体验。
この事件は 告発を扇動した大手インターネットサービスプロバイダーaolの本拠地であるバージニア州で起訴されました	此案在弗吉尼亚州起诉，该州是煽动指控的大型互联网服务商AOL的总部所在地。
